uuid,mtgo,mtgoFoil,paper,paperFoil
00fdbd9c-c681-5730-a531-73eef9cabbf7,0.0,0.0,1.3,0.0
00fe5d08-4ea4-51bf-a6b0-ed1092fc4154,0.03,0.02,0.04,0.11
00ff889e-9db2-5607-98ef-15c4137dfc02,0.0,0.0,0.47000000000000003,0.0
010057a9-b30e-590a-908e-2c41983e7ef1,0.0,0.0,0.0,0.0
010083ba-d573-5462-9649-e746de393754,0.0,0.0,0.0,0.0
010098f5-258a-546b-a16e-d6daa6611585,0.03,0.30000000000000004,0.31,22.36
01011108-8c88-51fd-a389-fe78a12cfa26,0.02,0.61,0.36,0.91
01017a51-4918-56c4-83eb-2f88895b7eed,0.0,0.0,1.82,0.0
01038cf2-878f-5f27-b857-0382f3662855,0.0,0.0,5.9126315789473685,0.0
01045826-3e75-53f2-bde3-8c50419f5709,2.7889999999999997,3.866428571428571,0.0,0.0
01094f98-23eb-5ad4-938b-c5472d8aeb7c,0.04,0.02,0.03,0.15
01096c8f-8dc6-58f7-8940-156779afce4b,0.01,0.24,0.8300000000000001,6.49
010a144e-b4b1-54c3-b71d-f7a17bee55b1,0.03,0.03,0.23,0.8200000000000001
010a2b20-c8c6-5954-8f8e-accde9d9f3ff,0.0,0.0,0.1378947368421052,0.0
010af42e-c5c1-5e44-8929-33ff1e3511d3,0.0,0.0,0.45,0.0
010e0d5d-e809-57fd-97f3-356855a004d8,0.0,0.0,38.0,0.0
0113c2f4-5fa4-5c59-a9a8-52a424085060,0.05000000000000002,0.030000000000000016,0.0,0.0
01145ca6-386c-53cf-90bc-413ca9c061a9,0.04,0.01,0.02,0.09
01150fd8-ea73-52d4-a469-26f1663b872f,0.0,0.0,19.91,0.0
011674a2-c709-547b-a530-a38156fc77db,0.04,0.01,0.06,0.18
011ada25-c0b0-54cf-b9f6-2bd38301b153,0.01,0.02,0.07,0.49
011bcad0-bb71-5041-9168-dee92ba5273a,0.02,0.02,0.03,0.16
011de1cd-989a-54a2-89ec-ece6ac1bc8e2,0.03,0.02,0.23,2.22
011e1caf-c69f-5f3f-b3d7-afef80c40d0d,0.0,0.0,0.0,0.0
0120a941-9cfb-50b5-b5e4-4e0c7bd32410,0.01,0.01,0.03,0.16
0125680a-37de-5f11-9eb3-a40564eb0f75,0.01,0.01,0.06,0.1
012737db-f4a8-57a8-a9e0-448f9ed76f52,0.01,0.01,0.1,0.30000000000000004
01283702-f453-5c92-a8bb-892c19584df8,0.04,0.05,1.1400000000000001,19.71
0128cb33-1667-50ec-9290-db3a3ac14f56,0.0,0.0,0.0,0.51
012aeb2c-dbbc-599a-93ee-7ec6b8097408,0.02,0.02,0.24,4.46
012d4f87-100e-5da4-bcf5-c6f8ba0b95e6,0.0,0.0,0.06,0.17
012e555b-79df-5bb7-bd79-0151a869fdc6,0.02,0.03,0.15,0.9500000000000001
012f39f3-f5e5-51c1-9d86-bdc399f2b32c,0.0,0.0,0.0,1.21
012f7f1b-0d2e-5997-bee2-fc4cf87a5cc3,0.0,0.0,0.0,0.0
0131a9a6-5c29-5386-9516-03ec65d8df4c,0.010000000000000002,0.020000000000000004,0.0,0.0
0132665f-f2a0-529b-89a6-a971a8f37073,0.0,0.0,0.0,1.51
0133c0c6-2669-58d6-a87d-79d5c54ef841,0.04,0.42,0.07,0.32
01356b4b-1dc0-5973-81ed-a0ee1e5b9afe,0.0,0.0,0.0,1.63
01363e27-7a97-55be-bf54-55b1b5149e63,0.04000000000000001,0.03227272727272728,0.0,0.0
0136b95a-5ee4-5ae6-a18d-b6f49d682808,0.04,0.01,0.09,0.23
0136d296-62fa-5f33-bedb-c7abe1c5716d,0.01,0.02,0.05,0.14
01375120-a3cf-547c-8ddb-dee6ac942eb9,0.02,0.24,7.72,16.2
0137e19e-8bda-5c6d-91c3-12ba9b9f82ce,0.0,0.0,1.8900000000000001,0.0
01380061-bd0a-5651-b4ab-0ae438098406,0.0,0.0,2.46,0.0
013c271e-f85c-5b9a-b1b8-ff949950a124,0.01,0.02,0.09,0.0
013cbcae-2d49-5df4-a5aa-82a3591effb4,0.0,0.0,0.14526315789473684,0.0
0141341c-6953-51f2-9053-fa3dc08a7eef,0.0,0.0,0.11,0.36
0142f7fa-7841-5869-8bb5-209f80c531dc,0.0,0.0,1.52,0.0
014331b4-eba8-507f-aeab-56dc7b9a5339,0.0,0.0,0.15,0.0
0144a649-3211-5fe4-bc16-f630299d19d8,0.0,0.0,0.25,0.0
014575c9-d89a-55a3-9331-8ecb1a5c18c5,1.15,0.0,7.96,0.0
01465430-3dbd-5c9f-9709-6502b4c15b7e,0.0,0.0,0.18631578947368416,0.0
01486b5b-a142-5a85-9ff2-dd3fb6d28e96,0.04,0.02,0.16,0.41000000000000003
0149c3b2-0da6-563b-ad33-fe5b0429c31a,0.03,0.03,0.07,0.18
014b0f01-a636-575c-add7-7607283c132f,0.0,0.0,0.20631578947368423,0.0
014bb92a-5278-5521-b56e-e036bc52ece5,0.0,0.0,0.2,0.0
014c0580-483e-523c-b671-14e161c44f57,0.0,0.0,0.0,0.0
014c42e7-4346-59f2-82d7-a1b72dc2c654,0.05000000000000002,0.02681818181818183,0.0,0.0
014d4ee3-e4e5-5a43-8308-7a4901f73d0b,0.01,0.23,0.04,0.14
014d592c-ae57-5ec3-8c0c-672070c92863,0.014545454545454545,0.3399999999999999,0.8942105263157896,4.068947368421052
014f914d-87e3-5b4e-a019-69ffb2caa5e4,0.27,0.0,0.11,0.0
014f9d9c-c028-52cd-84eb-e4c3c5467904,0.0,0.0,14.36,0.0
0153a3bb-4ec0-5b97-af61-f0fb14a9de73,0.03,0.02,0.14,0.65
0154f47a-5c13-5ea0-b3e7-cca476cb16e5,0.06,0.04,0.13,0.0
0156f270-798e-5403-ba6b-68e94bda3a10,0.022121212121212135,0.4124242424242423,0.6226315789473682,14.676315789473689
0158ce0a-456f-5084-b707-21f4313f5f4d,0.0,0.0,0.4,0.0
0159049d-3320-5c40-9c11-911dc02cfe2d,0.0,0.0,0.0,0.0
015b8beb-90d5-56bd-ad19-7c8ce0afd128,0.0,0.0,36.0,0.0
015c12ab-8657-5607-afcf-506b2e6d684f,0.03,0.01,0.04,0.1
015d73e5-f74e-54d2-9c7f-402f0b92e249,0.0,0.0,1.6600000000000001,0.0
015d9515-8da1-5137-b9fd-8be3c3e7c6ea,0.01,0.01,0.06,0.29
